date,pub_count,close_mean,ret_1d,ret_fwd_5d,volume_sum,vol_4w,vol_growth,vol_z,pub_4w,pub_growth,pub_z,y_up_5d,top1,top2,top3,top4,top5,top1_count,top2_count,top3_count,top4_count,top5_count,total_publications,top1_share,top2_share,top3_share,top4_share,top5_share,top_list
2024-09-17,11,168.90666666666667,-0.0092482158568776,-0.0075978844332175,6460377,77228300.0,0.2993468045878344,,149.0,-0.5217391304347826,,0,Global Health Care Issues,Healthcare Systems and Reforms,Health disparities and outcomes,Global Public Health Policies and Epidemiology,Demographic Trends and Gender Preferences,11.0,4.0,3.0,2.0,1.0,27,1.0,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,Global Health Care Issues|Healthcare Systems and Reforms|Health disparities and outcomes|Global Public Health Policies and Epidemiology|Demographic Trends and Gender Preferences
2024-09-18,14,168.59,-0.0018748026523524,-0.0159954129347332,7758879,84987179.0,0.2009947716673501,,163.0,0.2727272727272727,,0,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management","Gender, Labor, and Family Dynamics",HIV/AIDS Impact and Responses,Consumer Behavior and Market Dynamics,14.0,3.0,2.0,2.0,1.0,30,1.0,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.07142857142857142,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Gender, Labor, and Family Dynamics|HIV/AIDS Impact and Responses|Consumer Behavior and Market Dynamics"
2024-09-19,4,169.42666666666665,0.004962730094707,-0.0174510112536395,7045537,92032716.0,-0.0919387968287687,,167.0,-0.7142857142857143,,0,Global Health Care Issues,Colorectal Cancer Screening and Detection,Healthcare Policy and Management,,,4.0,1.0,1.0,,,6,1.0,0.25,0.25,,,Global Health Care Issues|Colorectal Cancer Screening and Detection|Healthcare Policy and Management
2024-09-20,6,168.66,-0.0045250649248445,-0.0159294833787895,9080868,101113584.0,0.2888823094676815,,173.0,0.5,,0,Global Health Care Issues,Healthcare Systems and Reforms,Adolescent and Pediatric Healthcare,Air Quality and Health Impacts,"Birth, Development, and Health",6.0,2.0,1.0,1.0,1.0,15,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,"Global Health Care Issues|Healthcare Systems and Reforms|Adolescent and Pediatric Healthcare|Air Quality and Health Impacts|Birth, Development, and Health"
2024-09-23,8,168.0,-0.0039131981501244,-0.0055158730158728,6863551,107977135.0,-0.2441745656912973,,181.0,0.33333333333333326,,0,Global Health Care Issues,Healthcare Policy and Management,Healthcare Systems and Reforms,"Gender, Labor, and Family Dynamics",Healthcare Systems and Challenges,8.0,3.0,2.0,1.0,1.0,17,1.0,0.375,0.25,0.125,0.125,"Global Health Care Issues|Healthcare Policy and Management|Healthcare Systems and Reforms|Gender, Labor, and Family Dynamics|Healthcare Systems and Challenges"
2024-09-24,9,167.6233333333333,-0.0022420634920634,-0.0093065802294826,6893082,114870217.0,0.0043025833129235,,190.0,0.125,,0,Global Health Care Issues,Employment and Welfare Studies,Health disparities and outcomes,Healthcare Systems and Reforms,Economic and Financial Impacts of Cancer,9.0,2.0,2.0,2.0,1.0,22,1.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,Global Health Care Issues|Employment and Welfare Studies|Health disparities and outcomes|Healthcare Systems and Reforms|Economic and Financial Impacts of Cancer
2024-09-25,9,165.89333333333332,-0.0103207588442342,-0.0003817714193857,6318560,121188777.0,-0.0833476230226188,,199.0,0.0,,0,Global Health Care Issues,Healthcare Systems and Reforms,"Health Systems, Economic Evaluations, Quality of Life",Health disparities and outcomes,"Insurance, Mortality, Demography, Risk Management",9.0,3.0,1.0,1.0,1.0,15,1.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,"Global Health Care Issues|Healthcare Systems and Reforms|Health Systems, Economic Evaluations, Quality of Life|Health disparities and outcomes|Insurance, Mortality, Demography, Risk Management"
2024-09-26,13,166.47,0.0034761292396721,-0.0134158306802025,6410563,127599340.0,0.0145607543490922,,212.0,0.4444444444444444,,0,Global Health Care Issues,"Aging, Elder Care, and Social Issues","Economic, Social, and Health Studies",Employment and Welfare Studies,Fiscal Policy and Economic Growth,13.0,1.0,1.0,1.0,1.0,24,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,"Global Health Care Issues|Aging, Elder Care, and Social Issues|Economic, Social, and Health Studies|Employment and Welfare Studies|Fiscal Policy and Economic Growth"
2024-09-27,8,165.97333333333336,-0.0029835205542538,-0.0090576799485863,7721333,135320673.0,0.2044703405925501,,220.0,-0.3846153846153846,,0,Global Health Care Issues,Health disparities and outcomes,Employment and Welfare Studies,Global Public Health Policies and Epidemiology,Health Promotion and Cardiovascular Prevention,8.0,3.0,1.0,1.0,1.0,20,1.0,0.375,0.125,0.125,0.125,Global Health Care Issues|Health disparities and outcomes|Employment and Welfare Studies|Global Public Health Policies and Epidemiology|Health Promotion and Cardiovascular Prevention
2024-09-30,28,167.07333333333335,0.0066275706940872,-0.0205099557080723,7597352,142918025.0,-0.0160569424994363,,248.0,2.5,,0,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,Employment and Welfare Studies,Healthcare Policy and Management,28.0,6.0,5.0,3.0,2.0,63,1.0,0.21428571428571427,0.17857142857142858,0.10714285714285714,0.07142857142857142,Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Employment and Welfare Studies|Healthcare Policy and Management
2024-10-01,49,166.06333333333336,-0.0060452495909979,-0.0093137156506554,10993110,144475663.0,0.4469659955205445,,254.0,0.75,,0,Global Health Care Issues,Health disparities and outcomes,Healthcare Policy and Management,Employment and Welfare Studies,Healthcare Systems and Reforms,49.0,7.0,7.0,6.0,6.0,118,1.0,0.14285714285714285,0.14285714285714285,0.12244897959183673,0.12244897959183673,Global Health Care Issues|Health disparities and outcomes|Healthcare Policy and Management|Employment and Welfare Studies|Healthcare Systems and Reforms
2024-10-02,5,165.83,-0.0014050864128144,0.001226155299604,7479148,143467128.0,-0.3196513088652801,,252.0,-0.8979591836734694,,1,Global Health Care Issues,Healthcare Systems and Challenges,"Health Systems, Economic Evaluations, Quality of Life",Health and Conflict Studies,Healthcare Policy and Management,5.0,2.0,1.0,1.0,1.0,11,1.0,0.4,0.2,0.2,0.2,"Global Health Care Issues|Healthcare Systems and Challenges|Health Systems, Economic Evaluations, Quality of Life|Health and Conflict Studies|Healthcare Policy and Management"
2024-10-03,5,164.23666666666668,-0.0096082333313232,0.0074080087678349,5838809,141087069.0,-0.2193216393097181,,250.0,0.0,,1,Global Health Care Issues,European and International Law Studies,Health disparities and outcomes,"Income, Poverty, and Inequality",Intergenerational and Educational Inequality Studies,5.0,1.0,1.0,1.0,1.0,10,1.0,0.2,0.2,0.2,0.2,"Global Health Care Issues|European and International Law Studies|Health disparities and outcomes|Income, Poverty, and Inequality|Intergenerational and Educational Inequality Studies"
2024-10-04,3,164.47,0.0014207140102695,0.0144301899029204,6861596,139528217.0,0.17517048425458,,240.0,-0.4,,1,Global Health Care Issues,Insurance and Financial Risk Management,"Retirement, Disability, and Employment",Technology and Data Analysis,,3.0,1.0,1.0,1.0,,6,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,"Global Health Care Issues|Insurance and Financial Risk Management|Retirement, Disability, and Employment|Technology and Data Analysis"
2024-10-07,11,163.64666666666668,-0.0050059788005917,0.0251354544343505,6139421,138812284.0,-0.1052488371510068,,244.0,2.6666666666666665,,1,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,Aging and Gerontology Research,COVID-19 Pandemic Impacts,11.0,3.0,3.0,1.0,1.0,27,1.0,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.09090909090909091,Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Aging and Gerontology Research|COVID-19 Pandemic Impacts
2024-10-08,6,164.51666666666668,0.005316331934656,0.0085705602269272,5318441,136535534.0,-0.1337227077276505,,238.0,-0.4545454545454546,,1,Global Health Care Issues,Employment and Welfare Studies,Health disparities and outcomes,Air Quality and Health Impacts,Energy and Environment Impacts,6.0,2.0,2.0,1.0,1.0,16,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,Global Health Care Issues|Employment and Welfare Studies|Health disparities and outcomes|Air Quality and Health Impacts|Energy and Environment Impacts
2024-10-09,8,166.03333333333333,0.0092189241211628,0.0027906042963261,8184025,137755278.0,0.5388015021695267,,233.0,0.33333333333333326,,1,Global Health Care Issues,Health disparities and outcomes,"Insurance, Mortality, Demography, Risk Management",Global Maternal and Child Health,Healthcare Policy and Management,8.0,3.0,3.0,2.0,2.0,23,1.0,0.375,0.375,0.25,0.25,"Global Health Care Issues|Health disparities and outcomes|Insurance, Mortality, Demography, Risk Management|Global Maternal and Child Health|Healthcare Policy and Management"
2024-10-10,7,165.45333333333332,-0.003493274442883,0.0004835200257877,4725860,137241883.0,-0.4225506398135391,,234.0,-0.125,,1,Global Health Care Issues,Blood Pressure and Hypertension Studies,Employment and Welfare Studies,"Energy, Environment, and Transportation Policies","Financial Literacy, Pension, Retirement Analysis",7.0,1.0,1.0,1.0,1.0,17,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,"Global Health Care Issues|Blood Pressure and Hypertension Studies|Employment and Welfare Studies|Energy, Environment, and Transportation Policies|Financial Literacy, Pension, Retirement Analysis"
2024-10-11,8,166.84333333333333,0.008401160448062,-0.0027370986754041,9597328,142259859.0,1.030810900026662,,235.0,0.1428571428571428,,0,Global Health Care Issues,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",demographic modeling and climate adaptation,Air Quality and Health Impacts,8.0,2.0,2.0,2.0,1.0,22,1.0,0.25,0.25,0.25,0.125,"Global Health Care Issues|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management|demographic modeling and climate adaptation|Air Quality and Health Impacts"
2024-10-14,8,167.76000000000002,0.0054941761732565,-0.020068351613416,5016035,142303875.0,-0.4773508834959064,-1.468642987251385,220.0,0.0,-0.36929259814840887,0,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,Economic Analysis and Policy,"Financial Literacy, Pension, Retirement Analysis",8.0,2.0,2.0,1.0,1.0,19,1.0,0.25,0.25,0.125,0.125,"Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Economic Analysis and Policy|Financial Literacy, Pension, Retirement Analysis"
2024-10-15,7,165.92666666666668,-0.0109283102845335,-0.0107878982683112,9414020,145257518.0,0.8767851500238735,1.3179431382647275,216.0,-0.125,-0.4542787755505601,0,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",Employment and Welfare Studies,7.0,2.0,2.0,2.0,1.0,19,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,"Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management|Employment and Welfare Studies"
2024-10-16,3,166.49666666666667,0.003435252521194,-0.0196800736751486,4781794,142280433.0,-0.4920561035561853,-1.6060378472993784,205.0,-0.5714285714285714,-0.8130702521595974,0,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management",Health disparities and outcomes,Healthcare Policy and Management,Healthcare Systems and Reforms,3.0,2.0,1.0,1.0,1.0,9,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Health disparities and outcomes|Healthcare Policy and Management|Healthcare Systems and Reforms"
2024-10-17,14,165.53333333333333,-0.005785901619652,-0.0201369311316954,5656730,140891626.0,0.1829723321414516,-0.8538784854525933,215.0,3.666666666666667,0.2353917511480021,0,Global Health Care Issues,Healthcare Systems and Reforms,Agricultural risk and resilience,Chronic Disease Management Strategies,Economic and Financial Impacts of Cancer,14.0,2.0,1.0,1.0,1.0,35,1.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,Global Health Care Issues|Healthcare Systems and Reforms|Agricultural risk and resilience|Chronic Disease Management Strategies|Economic and Financial Impacts of Cancer
2024-10-18,13,166.38666666666666,0.005155054369714,-0.0304711916018909,10020581,141831339.0,0.7714441028650829,1.5513900480175062,222.0,-0.0714285714285714,0.1362668414338169,0,Global Health Care Issues,Healthcare Policy and Management,Healthcare Systems and Reforms,Air Quality and Health Impacts,Climate Change and Health Impacts,13.0,2.0,2.0,1.0,1.0,24,1.0,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,Global Health Care Issues|Healthcare Policy and Management|Healthcare Systems and Reforms|Air Quality and Health Impacts|Climate Change and Health Impacts
2024-10-21,13,164.39333333333337,-0.0119801266127091,-0.0165659596901741,5021898,139989686.0,-0.4988416340329966,-1.3307325983181204,227.0,0.0,0.13432748646978968,0,Global Health Care Issues,Employment and Welfare Studies,Regional Development and Policy,"Aging, Elder Care, and Social Issues",Agricultural risk and resilience,13.0,2.0,2.0,1.0,1.0,30,1.0,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,"Global Health Care Issues|Employment and Welfare Studies|Regional Development and Policy|Aging, Elder Care, and Social Issues|Agricultural risk and resilience"
2024-10-22,10,164.13666666666668,-0.0015612960785108,-0.0172214211734123,5369300,138465904.0,0.0691774305252714,-1.019567923904343,228.0,-0.23076923076923073,-0.16344986934996547,0,Global Health Care Issues,Climate Change and Health Impacts,Employment and Welfare Studies,HIV/AIDS Impact and Responses,Healthcare Policy and Management,10.0,2.0,2.0,2.0,2.0,26,1.0,0.2,0.2,0.2,0.2,Global Health Care Issues|Climate Change and Health Impacts|Employment and Welfare Studies|HIV/AIDS Impact and Responses|Healthcare Policy and Management
2024-10-23,11,163.22,-0.0055847769135477,-0.0132336723440754,5324032,137471376.0,-0.0084308941575251,-1.0253957750041842,230.0,0.10000000000000009,-0.061175012688705815,0,Global Health Care Issues,Healthcare Systems and Reforms,Employment and Welfare Studies,Global Public Health Policies and Epidemiology,Health disparities and outcomes,11.0,3.0,2.0,1.0,1.0,22,1.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,Global Health Care Issues|Healthcare Systems and Reforms|Employment and Welfare Studies|Global Public Health Policies and Epidemiology|Health disparities and outcomes
2024-10-24,5,162.20000000000002,-0.00624923416248,-0.0164406083025072,5380429,136441242.0,0.0105929115377216,-0.9562174390875656,222.0,-0.5454545454545454,-0.6656132886965067,0,Global Health Care Issues,Cystic Fibrosis Research Advances,Geriatric Care and Nursing Homes,Health disparities and outcomes,"Insurance, Mortality, Demography, Risk Management",5.0,1.0,1.0,1.0,1.0,9,1.0,0.2,0.2,0.2,0.2,"Global Health Care Issues|Cystic Fibrosis Research Advances|Geriatric Care and Nursing Homes|Health disparities and outcomes|Insurance, Mortality, Demography, Risk Management"
2024-10-25,7,161.3166666666667,-0.0054459515002054,-0.0042979646657713,5552249,134272158.0,0.0319342565434837,-0.80680972402918,221.0,0.3999999999999999,-0.4512878515616185,0,Global Health Care Issues,Health disparities and outcomes,"Health, psychology, and well-being",Healthcare Systems and Challenges,"Migration, Aging, and Tourism Studies",7.0,1.0,1.0,1.0,1.0,12,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,"Global Health Care Issues|Health disparities and outcomes|Health, psychology, and well-being|Healthcare Systems and Challenges|Migration, Aging, and Tourism Studies"
2024-10-28,70,161.67,0.00219030891621,-0.0120822251087605,5076124,131750930.0,-0.0857535387912177,-1.1495558028010482,263.0,9.0,4.327079515467807,0,Global Health Care Issues,Healthcare Systems and Reforms,Health disparities and outcomes,Employment and Welfare Studies,Healthcare Policy and Management,70.0,12.0,10.0,7.0,6.0,159,1.0,0.17142857142857143,0.14285714285714285,0.1,0.08571428571428572,Global Health Care Issues|Healthcare Systems and Reforms|Health disparities and outcomes|Employment and Welfare Studies|Healthcare Policy and Management
2024-10-29,9,161.31000000000003,-0.0022267582111706,-0.0020044221271672,7600736,128358556.0,0.4973503405354165,0.5350295073410505,223.0,-0.8714285714285714,-0.2817459624991612,0,Global Health Care Issues,Healthcare Systems and Reforms,Healthcare Policy and Management,"Insurance, Mortality, Demography, Risk Management",Demographic Trends and Gender Preferences,9.0,3.0,2.0,2.0,1.0,22,1.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,"Global Health Care Issues|Healthcare Systems and Reforms|Healthcare Policy and Management|Insurance, Mortality, Demography, Risk Management|Demographic Trends and Gender Preferences"
2024-10-30,8,161.06,-0.0015498109230676,0.0018005712156958,9717560,130596968.0,0.278502502915507,1.5112618845292634,226.0,-0.11111111111111116,-0.35350813562437994,1,Global Health Care Issues,Adolescent and Pediatric Healthcare,Air Quality and Health Impacts,Employment and Welfare Studies,"Energy, Environment, and Transportation Policies",8.0,1.0,1.0,1.0,1.0,20,1.0,0.125,0.125,0.125,0.125,"Global Health Care Issues|Adolescent and Pediatric Healthcare|Air Quality and Health Impacts|Employment and Welfare Studies|Energy, Environment, and Transportation Policies"
2024-10-31,6,159.53333333333333,-0.0094788691584917,0.0182407020476391,6965551,131723710.0,-0.2831995891972881,0.1246134739943302,227.0,-0.25,-0.5008285007877739,1,Global Health Care Issues,Energy and Environment Impacts,"Energy, Environment, and Transportation Policies",Global Healthcare and Medical Tourism,Health disparities and outcomes,6.0,1.0,1.0,1.0,1.0,12,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,"Global Health Care Issues|Energy and Environment Impacts|Energy, Environment, and Transportation Policies|Global Healthcare and Medical Tourism|Health disparities and outcomes"
2024-11-01,28,160.6233333333333,0.0068324279147513,0.0190715338161746,7206884,132068998.0,0.0346466489154986,0.2647891952301237,252.0,3.666666666666667,1.1820537701888698,1,Global Health Care Issues,Healthcare Policy and Management,Global Public Health Policies and Epidemiology,Health disparities and outcomes,"Financial Literacy, Pension, Retirement Analysis",28.0,7.0,4.0,3.0,2.0,62,1.0,0.25,0.14285714285714285,0.10714285714285714,0.07142857142857142,"Global Health Care Issues|Healthcare Policy and Management|Global Public Health Policies and Epidemiology|Health disparities and outcomes|Financial Literacy, Pension, Retirement Analysis"
2024-11-04,12,159.71666666666667,-0.0056446759499449,0.0195763330898466,6785511,132715088.0,-0.0584681257530993,0.0082776672402077,253.0,-0.5714285714285714,-0.0593274734950767,1,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",Business and Economic Development,12.0,3.0,2.0,2.0,1.0,27,1.0,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,"Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management|Business and Economic Development"
2024-11-05,7,160.98666666666668,0.007951580924554,-0.0029194964386284,5229220,132625867.0,-0.2293550183619185,-1.0866142444750575,254.0,-0.41666666666666663,-0.4460951066997195,0,Global Health Care Issues,Employment and Welfare Studies,COVID-19 and healthcare impacts,COVID-19 epidemiological studies,Child Nutrition and Water Access,7.0,2.0,1.0,1.0,1.0,15,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,Global Health Care Issues|Employment and Welfare Studies|COVID-19 and healthcare impacts|COVID-19 epidemiological studies|Child Nutrition and Water Access
2024-11-06,8,161.35,0.0022569156865992,-0.0081396549943187,11335833,135777675.0,1.167786591499306,2.101828970377169,254.0,0.1428571428571428,-0.3624976641851245,0,Global Health Care Issues,Healthcare Policy and Management,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",Blood Pressure and Hypertension Studies,8.0,2.0,2.0,2.0,1.0,19,1.0,0.25,0.25,0.25,0.125,"Global Health Care Issues|Healthcare Policy and Management|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management|Blood Pressure and Hypertension Studies"
2024-11-07,7,162.44333333333336,0.0067761594876563,-0.0312929637001622,9753171,140804986.0,-0.1396158535504184,1.4333691695581143,254.0,-0.125,-0.4370412868542205,0,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management",Air Quality and Health Impacts,Asthma and respiratory diseases,Demographic Trends and Gender Preferences,7.0,3.0,1.0,1.0,1.0,15,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Air Quality and Health Impacts|Asthma and respiratory diseases|Demographic Trends and Gender Preferences"
2024-11-08,8,163.6866666666667,0.0076539511214166,-0.0584246324278093,9171683,140379341.0,-0.0596204044817834,1.1543086066864112,254.0,0.1428571428571428,-0.3523123322394431,0,Global Health Care Issues,Employment and Welfare Studies,Health disparities and outcomes,Healthcare Systems and Public Health,,8.0,1.0,1.0,1.0,,11,1.0,0.125,0.125,0.125,,Global Health Care Issues|Employment and Welfare Studies|Health disparities and outcomes|Healthcare Systems and Public Health
2024-11-11,15,162.84333333333333,-0.0051521199038815,-0.0534460524430434,6447451,141810757.0,-0.2970264018065168,-0.2732745823874389,261.0,0.875,0.21545509050611128,0,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,Healthcare Policy and Management,COVID-19 epidemiological studies,15.0,3.0,3.0,2.0,1.0,35,1.0,0.2,0.2,0.13333333333333333,0.06666666666666667,Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Healthcare Policy and Management|COVID-19 epidemiological studies
2024-11-12,10,160.51666666666668,-0.0142877612429123,-0.0427785276710622,7709774,140106511.0,0.1957863658056493,0.4540368109714806,264.0,-0.33333333333333337,-0.19375497059544938,0,Global Health Care Issues,Global Maternal and Child Health,Healthcare Systems and Reforms,"Cardiac, Anesthesia and Surgical Outcomes",Climate Change and Health Impacts,10.0,2.0,2.0,1.0,1.0,24,1.0,0.2,0.2,0.1,0.1,"Global Health Care Issues|Global Maternal and Child Health|Healthcare Systems and Reforms|Cardiac, Anesthesia and Surgical Outcomes|Climate Change and Health Impacts"
